"title","year","rating","poster"
"The Cobbler",2014,5.8,"https://m.media-amazon.com/images/M/MV5BMTgzMjQ2OTQ0NV5BMl5BanBnXkFtZTgwMTc2MTI2NDE@._V1_SX300.jpg"
"Underworld: Rise of the Lycans",2009,6.5,"https://m.media-amazon.com/images/M/MV5BMTAwNzYzMDQyMzReQTJeQWpwZ15BbWU3MDMyNDA0MjI@._V1_SX300.jpg"
"Underworld: Awakening",2012,6.3,"https://m.media-amazon.com/images/M/MV5BMjAxMjc0ODk0OF5BMl5BanBnXkFtZTcwMTc5NDQwNw@@._V1_SX300.jpg"
"Underworld: Blood Wars",2016,5.7,"https://m.media-amazon.com/images/M/MV5BMjI5Njk0NTIyNV5BMl5BanBnXkFtZTgwNjU4MjY5MDI@._V1_SX300.jpg"
"Stonehearst Asylum",2014,6.8,"https://m.media-amazon.com/images/M/MV5BNjg5NjU0MTM4N15BMl5BanBnXkFtZTgwMjU1NDQzMjE@._V1_SX300.jpg"
"The Skeleton Key",2005,6.5,"https://m.media-amazon.com/images/M/MV5BM2YzNTlhZWYtNDQ2Ny00OTI0LWI0MzMtMWJkZTQ1MGVlMGVhXkEyXkFqcGdeQXVyNDIzMzcwNjc@._V1_SX300.jpg"
"Tenet",2020,7.3,"https://m.media-amazon.com/images/M/MV5BMzU3YWYwNTQtZTdiMC00NjY5LTlmMTMtZDFlYTEyODBjMTk5XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg"
"Moulin Rouge!",2001,7.6,"https://m.media-amazon.com/images/M/MV5BMWFhYjliNjYtYjNhNS00OGExLWFhMjQtNDgwOWYyNWJiYzhmXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg"
"Pearl Harbor",2001,6.2,"https://m.media-amazon.com/images/M/MV5BMTQ3MDc0MDc1NF5BMl5BanBnXkFtZTYwODI1ODY2._V1_SX300.jpg"
"Funny Games",2007,6.5,"https://m.media-amazon.com/images/M/MV5BMTg4OTExNTYzMV5BMl5BanBnXkFtZTcwOTg1MDU1MQ@@._V1_SX300.jpg"
"The Painted Veil",2006,7.4,"https://m.media-amazon.com/images/M/MV5BYWRjYmNjODUtNDZhYS00ZmJmLTkyNjQtOGI2ZjBhMjAyNDliXkEyXkFqcGdeQXVyNjc3MjQzNTI@._V1_SX300.jpg"
"The Illusionist",2006,7.5,"https://m.media-amazon.com/images/M/MV5BY2VkMzZlZDAtNTkzNS00MDIzLWFmOTctMWQwZjQ1OWJiYzQ1XkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_SX300.jpg"
"Equilibrium",2002,7.3,"https://m.media-amazon.com/images/M/MV5BMTkzMzA1OTI3N15BMl5BanBnXkFtZTYwMzUyMDg5._V1_SX300.jpg"
"The Butterfly Effect",2004,7.6,"https://m.media-amazon.com/images/M/MV5BODNiZmY2MWUtMjFhMy00ZmM2LTg2MjYtNWY1OTY5NGU2MjdjL2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg"
"Requiem for a Dream",2000,8.3,"https://m.media-amazon.com/images/M/MV5BOTdiNzJlOWUtNWMwNS00NmFlLWI0YTEtZmI3YjIzZWUyY2Y3XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg"
"Beautiful Mind",2016,7.7,"https://m.media-amazon.com/images/M/MV5BNDg2NTNlYTUtZmI0Ni00ZjJkLTkwYzEtNjMxNDAwMDMxOTA1XkEyXkFqcGdeQXVyNjc1NTAxMzI@._V1_SX300.jpg"
"Eternal Sunshine of the Spotless Mind",2004,8.3,"https://m.media-amazon.com/images/M/MV5BMTY4NzcwODg3Nl5BMl5BanBnXkFtZTcwNTEwOTMyMw@@._V1_SX300.jpg"
"Green Book",2018,8.2,"https://m.media-amazon.com/images/M/MV5BYzIzYmJlYTYtNGNiYy00N2EwLTk4ZjItMGYyZTJiOTVkM2RlXkEyXkFqcGdeQXVyODY1NDk1NjE@._V1_SX300.jpg"
"Serendipity",2001,6.8,"https://m.media-amazon.com/images/M/MV5BMzc3Yjg1MmUtODllMy00MmZkLTgyNDAtZDg0N2I4OWEzZTkxXkEyXkFqcGdeQXVyNTM0NTU5Mg@@._V1_SX300.jpg"
"The Lost City",2022,6.1,"https://m.media-amazon.com/images/M/MV5BMmIwYzFhODAtY2I1YS00ZDdmLTkyYWQtZjI5NDIwMDc2MjEyXkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_SX300.jpg"
"Guns Akimbo",2019,6.3,"https://m.media-amazon.com/images/M/MV5BOGI5YzQ0MDEtZDlhOS00ZjQzLWExMDktNWFiMjU1ZjA5NzVjXkEyXkFqcGdeQXVyMTA4NjE0NjEy._V1_SX300.jpg"
"Shutter Island",2010,8.2,"https://m.media-amazon.com/images/M/MV5BYzhiNDkyNzktNTZmYS00ZTBkLTk2MDAtM2U0YjU1MzgxZjgzXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg"
"Inception",2010,8.8,"https://m.media-amazon.com/images/M/MV5BMjAxMzY3NjcxNF5BMl5BanBnXkFtZTcwNTI5OTM0Mw@@._V1_SX300.jpg"
"Lucy",2014,6.4,"https://m.media-amazon.com/images/M/MV5BODcxMzY3ODY1NF5BMl5BanBnXkFtZTgwNzg1NDY4MTE@._V1_SX300.jpg"
"Passengers",2016,7.0,"https://m.media-amazon.com/images/M/MV5BZjk4ZTMwMTYtOTk1NC00OTA0LWFhMGYtZTBjMzViMDY2YWZjXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg"
"Edge of Tomorrow",2014,7.9,"https://m.media-amazon.com/images/M/MV5BMTc5OTk4MTM3M15BMl5BanBnXkFtZTgwODcxNjg3MDE@._V1_SX300.jpg"
"Hardcore Henry",2015,6.7,"https://m.media-amazon.com/images/M/MV5BNjIzNTcwMDc3Nl5BMl5BanBnXkFtZTgwNzU5NTY5NzE@._V1_SX300.jpg"
"Nobody",2021,7.4,"https://m.media-amazon.com/images/M/MV5BMjM5YTRlZmUtZGVmYi00ZjE2LWIyNzAtOWVhMDk1MDdkYzhjXkEyXkFqcGdeQXVyMjMxOTE0ODA@._V1_SX300.jpg"
"The Post",2017,7.2,"https://m.media-amazon.com/images/M/MV5BMjQyMjEwOTIwNV5BMl5BanBnXkFtZTgwOTkzNTMxNDM@._V1_SX300.jpg"
